attr,sinc,intel,fun,like,int_corr,amb,samerace,exphappy,prob
5.0,7.0,9.0,6.0,5.0,0.83,7.0,0,6.0,4.0
2.0,2.0,2.0,4.0,1.0,-0.58,1.0,0,4.0,1.0
6.0,10.0,10.0,6.0,6.0,0.05,10.0,0,5.0,7.0
8.0,9.0,9.0,9.0,8.0,-0.09,10.0,1,8.0,9.0
5.0,5.0,4.0,2.0,3.0,-0.1,3.0,0,6.0,5.0
4.0,4.0,6.0,5.0,5.0,0.38,10.0,0,4.0,6.0
2.0,10.0,10.0,5.0,9.0,0.29,10.0,1,4.0,8.0
2.0,4.0,4.0,1.0,3.0,0.54,7.0,0,10.0,4.0
7.0,7.0,7.0,7.0,7.0,0.4,7.0,0,5.0,7.0
6.0,7.0,8.0,7.0,6.0,0.74,8.0,0,6.0,4.0
4.0,7.0,9.0,4.0,3.0,0.18,8.0,0,4.0,4.0
6.0,7.0,8.0,7.0,7.0,0.52,6.0,0,5.0,6.0
6.0,6.0,7.0,6.0,6.0,0.41,6.0,0,9.0,6.0
6.0,8.0,8.0,8.0,6.0,0.21,8.0,0,1.0,6.0
3.0,3.0,4.0,3.0,2.0,0.42,8.0,1,5.0,3.0
9.0,8.0,5.0,10.0,9.0,-0.17,7.0,1,6.0,9.0
8.0,10.0,8.0,8.0,6.0,0.19,8.0,1,5.0,1.0
5.0,8.0,7.0,7.0,6.0,-0.09,7.0,1,7.0,6.0
5.0,5.0,6.0,6.0,4.0,0.56,6.0,1,3.0,3.0
4.0,7.0,8.0,5.0,5.0,0.35,7.0,0,4.0,6.0
7.0,10.0,9.0,10.0,8.0,-0.19,9.0,0,5.0,4.0
8.0,7.0,8.0,3.0,6.0,0.73,6.0,1,4.0,5.0
4.0,4.0,5.0,4.0,3.0,-0.03,2.0,1,6.0,5.0
7.0,8.0,7.5,8.0,8.0,0.43,7.0,0,3.0,6.0
2.0,7.0,6.0,8.0,8.0,0.51,6.0,1,5.0,10.0
4.0,3.0,4.0,2.0,2.0,-0.04,9.0,0,6.0,2.0
4.0,8.0,7.0,4.0,4.0,0.58,5.0,0,6.0,2.0
8.0,10.0,9.0,9.0,9.0,0.23,10.0,0,4.0,9.0
6.0,7.0,7.0,7.0,6.0,-0.19,7.0,1,5.0,7.0
6.0,8.0,8.0,8.0,10.0,0.72,7.0,0,6.0,6.0
5.0,10.0,8.0,8.0,8.0,0.56,9.0,0,7.0,8.0
7.0,9.0,8.0,8.0,8.0,0.07,9.0,1,7.0,8.0
8.0,10.0,10.0,9.0,8.0,0.12,9.0,0,7.0,5.0
5.0,6.0,7.0,6.0,5.0,0.27,9.0,1,5.0,5.0
1.0,1.0,1.0,1.0,1.0,0.05,1.0,1,6.0,6.0
8.0,8.0,9.0,8.0,6.0,-0.04,7.0,1,5.0,5.0
7.0,9.0,10.0,8.0,9.0,-0.05,9.0,0,6.0,9.0
6.0,3.0,4.0,2.0,3.0,0.52,4.0,1,6.0,3.0
8.0,7.0,7.0,6.0,6.0,-0.07,6.0,0,6.0,4.0
6.0,5.0,3.0,7.0,5.0,0.36,8.0,0,6.0,2.0
4.0,6.0,4.0,5.0,3.0,-0.35,6.0,0,5.0,1.0
8.0,5.0,9.0,4.0,5.0,0.41,9.0,1,5.0,5.0
3.0,3.0,4.0,3.0,3.0,0.02,2.0,0,6.0,4.0
2.0,8.0,8.0,7.0,4.0,0.48,8.0,0,7.0,7.0
6.0,8.0,7.0,5.0,6.0,0.1,5.0,0,7.0,3.0
8.0,7.0,8.0,7.0,8.0,0.58,6.0,1,1.0,4.0
8.0,9.0,9.0,8.0,8.0,0.25,8.0,0,5.0,6.0
2.0,5.0,2.0,3.0,2.0,-0.04,1.0,0,6.0,5.0
8.0,8.0,8.0,8.0,9.0,0.21,6.0,1,6.0,7.0
5.0,8.0,8.0,6.0,5.0,-0.08,5.0,1,4.0,5.0
7.0,6.0,8.0,9.0,7.0,0.28,8.0,0,3.0,7.0
6.0,6.0,6.0,6.0,6.0,-0.16,6.0,1,6.0,4.0
7.0,6.0,7.0,7.0,6.0,0.29,7.0,0,7.0,5.0
2.0,3.0,4.0,5.0,2.0,0.59,5.0,1,4.0,5.0
6.0,10.0,9.0,6.0,6.0,0.68,8.0,0,1.0,2.0
5.0,7.0,5.0,5.0,6.0,0.62,3.0,0,5.0,4.0
4.0,6.0,7.0,4.0,4.0,0.14,7.0,0,7.0,3.0
8.0,8.0,10.0,8.0,8.0,0.55,10.0,0,5.0,8.0
6.0,7.0,8.0,6.0,4.0,0.39,6.0,0,5.0,4.0
3.0,8.0,9.0,6.0,5.0,0.37,9.0,0,6.0,8.0
4.0,3.0,4.0,4.0,4.0,0.5,4.0,0,5.0,4.0
4.0,5.0,5.0,5.0,2.0,0.71,5.0,0,5.0,2.0
9.0,8.0,8.0,9.0,7.0,0.5,7.0,0,6.0,9.0
6.0,7.0,8.0,7.0,6.0,0.23,8.0,0,5.0,0.0
6.0,5.0,5.0,4.0,3.0,-0.01,4.0,0,7.0,3.0
6.0,6.0,7.0,3.0,5.0,-0.41,7.0,1,4.0,2.0
8.0,9.0,9.0,6.0,8.0,0.16,7.0,1,6.0,5.0
4.0,10.0,10.0,6.0,4.0,0.45,10.0,0,6.0,6.0
5.0,8.0,8.0,8.0,5.0,-0.09,8.0,1,6.0,5.0
3.0,10.0,10.0,3.0,5.0,0.48,10.0,0,7.0,5.0
8.0,10.0,9.0,9.0,7.0,-0.27,9.0,0,1.0,7.0
7.0,10.0,7.0,7.0,9.0,0.2,8.0,0,7.0,7.0
8.0,9.0,10.0,7.0,8.0,0.38,7.0,0,7.0,6.0
6.0,8.0,9.0,8.0,7.0,0.2,10.0,0,5.0,6.0
7.0,6.0,7.0,8.0,6.0,-0.02,6.0,0,6.0,9.0
7.0,8.0,8.0,5.0,5.0,0.58,8.0,1,5.0,4.0
7.0,7.0,8.0,9.0,9.0,-0.06,8.0,1,6.0,9.0
5.0,5.0,5.0,5.0,5.0,0.15,5.0,0,5.0,5.0
7.0,8.0,8.0,7.0,7.0,0.14,9.0,0,5.0,8.0
7.0,8.0,8.0,8.0,5.0,0.06,6.0,0,7.0,4.0
6.0,10.0,5.0,2.0,7.0,-0.23,2.0,0,2.0,1.0
5.0,6.0,5.0,4.0,5.0,0.68,5.0,0,5.0,4.0
6.0,6.0,6.0,6.0,5.0,0.12,6.0,1,2.0,5.0
1.0,6.0,5.0,1.0,1.0,0.34,6.0,0,10.0,5.0
5.0,6.0,7.0,8.0,5.0,-0.26,7.0,0,6.0,4.0
6.0,8.0,8.0,8.0,5.0,-0.2,7.0,0,8.0,3.0
3.0,4.0,6.0,7.0,5.0,0.61,5.0,0,4.0,9.0
5.0,8.0,7.0,5.0,8.0,0.0,6.0,0,3.0,3.0
8.0,7.0,7.0,9.0,8.0,-0.11,6.0,1,6.0,7.0
8.0,9.0,10.0,9.0,7.0,0.26,10.0,1,5.0,8.0
6.0,8.0,8.0,10.0,8.0,0.7,8.0,0,6.0,4.0
6.0,7.0,8.0,8.0,6.0,0.29,7.0,0,7.0,5.0
7.0,6.0,7.0,7.0,6.0,0.16,9.0,0,6.0,7.0
4.0,7.0,8.0,5.0,5.0,0.23,10.0,0,5.0,5.0
9.0,9.0,9.0,9.0,8.0,0.22,9.0,0,5.0,5.0
6.0,10.0,10.0,8.0,8.0,0.4,10.0,1,3.0,8.0
3.0,8.0,5.0,5.0,5.0,0.06,5.0,0,4.0,7.0
6.0,7.0,8.0,8.0,7.0,0.62,8.0,0,5.0,3.0
6.0,8.0,7.0,8.0,6.0,-0.43,8.0,1,2.0,5.0
7.0,6.0,7.0,6.0,6.0,0.45,6.0,0,4.0,5.0
7.0,10.0,10.0,8.0,6.0,0.08,10.0,1,8.0,8.0
4.0,4.0,4.0,4.0,3.0,0.22,4.0,0,5.0,3.0
6.0,8.0,8.0,8.0,8.0,-0.43,8.0,1,7.0,10.0
4.0,4.0,4.0,7.0,5.0,0.38,5.0,1,5.0,5.0
6.0,8.0,8.0,8.0,7.0,-0.18,8.0,1,6.0,5.0
5.0,10.0,9.0,7.0,8.0,0.18,7.0,0,1.0,1.0
5.0,7.0,7.0,5.0,7.0,-0.09,6.0,0,5.0,6.0
3.0,3.0,3.0,2.0,3.0,0.05,3.0,0,8.0,3.0
7.0,8.0,8.0,9.0,8.0,0.76,8.0,0,7.0,7.0
6.0,6.0,7.0,6.0,5.0,0.09,6.0,1,6.0,2.0
9.0,6.0,7.0,9.0,10.0,-0.06,6.0,1,7.0,3.0
5.0,7.0,8.0,6.0,4.0,0.15,8.0,0,5.0,1.0
6.0,6.0,6.0,4.0,5.0,0.33,6.0,1,4.0,5.0
7.0,8.0,7.0,7.0,7.0,0.53,7.0,0,2.0,9.0
6.0,7.0,8.0,7.0,8.0,0.39,9.0,1,4.0,7.0
7.0,6.0,6.0,4.0,5.0,0.22,6.0,1,5.0,2.0
1.0,1.0,1.0,1.0,1.0,-0.36,1.0,1,6.0,1.0
6.0,4.0,5.0,5.0,6.0,0.13,6.0,1,3.0,2.0
0.0,5.0,5.0,0.0,2.0,0.37,9.0,1,5.0,0.0
5.0,6.0,7.0,4.0,5.0,0.17,5.0,1,6.0,4.0
8.0,7.0,8.0,5.0,8.0,0.13,7.0,0,6.0,5.0
5.0,10.0,8.0,8.0,8.0,0.54,8.0,0,5.0,1.0
8.0,8.0,8.0,8.0,8.0,0.49,6.0,0,6.0,7.0
7.0,8.0,8.0,7.0,6.0,-0.28,7.0,1,4.0,5.0
5.0,7.0,7.0,5.0,6.0,0.57,6.0,1,5.0,5.0
5.0,7.0,8.0,7.0,7.0,-0.03,9.0,1,5.0,3.0
4.0,6.0,6.0,4.0,2.0,-0.15,5.0,0,2.0,2.0
7.0,8.0,9.0,7.0,7.0,0.01,10.0,1,5.0,6.0
6.0,5.0,5.0,5.0,6.0,0.31,6.0,0,5.0,5.0
5.0,5.0,8.0,6.0,5.0,0.31,9.0,1,5.0,4.0
6.0,5.0,7.0,5.0,4.0,0.13,5.0,0,6.0,3.0
8.0,7.0,8.0,8.0,8.0,0.55,8.0,1,6.0,4.0
2.0,3.0,4.0,3.0,3.0,0.43,6.0,0,5.0,3.0
6.0,6.0,7.0,5.0,4.0,0.48,5.0,0,6.0,6.0
4.0,8.0,6.0,8.0,8.0,0.08,7.0,0,6.0,8.0
3.0,4.0,6.0,5.0,3.0,0.75,5.0,1,3.0,2.0
3.0,8.0,7.0,6.0,5.0,0.46,6.0,1,7.0,4.0
8.0,10.0,10.0,10.0,9.0,-0.03,9.0,1,9.0,9.0
3.0,6.0,7.0,5.0,6.0,0.44,3.0,0,6.0,6.0
8.0,9.0,9.0,8.0,8.5,0.08,9.0,0,7.0,10.0
7.0,9.0,10.0,6.0,6.0,0.08,10.0,0,6.0,6.0
7.0,8.0,9.0,9.0,7.0,0.33,9.0,0,6.0,5.0
8.0,8.0,8.0,8.0,8.0,-0.63,8.0,1,7.0,8.0
5.0,10.0,10.0,6.0,8.0,0.68,6.0,0,6.0,5.0
6.0,8.0,9.0,7.0,6.0,0.43,8.0,1,8.0,7.0
9.0,3.0,10.0,9.0,7.0,0.5,10.0,1,7.0,5.0
8.0,10.0,9.0,4.0,5.0,-0.16,8.0,0,5.0,5.0
9.0,10.0,10.0,10.0,9.0,0.32,10.0,0,7.0,10.0
7.0,7.0,6.0,6.0,6.0,-0.02,6.0,1,6.0,6.0
4.0,6.0,7.0,6.0,4.0,0.58,7.0,1,2.0,4.0
8.0,7.0,8.0,6.0,6.0,0.31,7.0,0,9.0,8.0
9.0,10.0,10.0,10.0,9.0,-0.02,9.0,1,7.0,9.0
6.0,10.0,10.0,8.0,8.0,0.72,8.0,1,2.0,1.0
4.0,10.0,9.0,8.0,6.0,0.55,9.0,0,4.0,7.0
6.0,10.0,8.0,6.0,7.0,0.56,7.0,0,7.0,3.0
7.0,7.0,7.0,7.0,7.0,0.25,7.0,1,8.0,7.0
6.0,10.0,10.0,5.0,6.0,0.25,9.0,0,7.0,5.0
7.0,7.0,7.0,9.0,5.0,0.19,7.0,0,4.0,5.0
2.0,7.0,5.0,4.0,2.0,0.28,9.0,1,5.0,2.0
6.0,8.0,7.0,7.0,8.0,0.17,7.0,0,6.0,4.0
6.0,7.0,7.0,7.0,7.0,0.53,7.0,0,1.0,6.0
5.0,4.0,6.0,4.0,4.0,0.12,4.0,1,5.0,3.0
4.0,7.0,9.0,9.0,9.0,0.07,10.0,1,3.0,9.0
9.0,8.0,8.0,7.0,8.0,0.24,9.0,0,6.0,9.0
6.0,5.0,9.0,4.0,5.0,0.54,6.0,0,6.0,3.0
6.0,6.0,8.0,6.0,6.0,-0.43,6.0,0,6.0,4.0
1.0,2.0,2.0,1.0,2.0,-0.39,8.0,0,6.0,5.0
6.0,8.0,8.0,7.0,6.0,0.63,7.0,1,6.0,5.0
8.0,8.0,8.0,9.0,8.0,-0.83,9.0,1,2.0,8.0
9.5,7.0,7.0,8.0,7.0,0.4,9.0,1,6.0,6.0
4.0,4.0,6.0,4.0,2.0,0.03,4.0,0,4.0,6.0
4.0,3.0,3.0,3.0,3.0,0.33,4.0,0,6.0,3.0
8.0,7.0,7.0,7.0,7.0,-0.33,6.0,0,4.0,4.0
9.0,7.0,8.0,9.0,6.0,0.31,8.0,0,6.0,5.0
7.0,7.0,6.0,7.0,7.0,0.31,6.0,0,4.0,7.0
5.0,7.0,9.0,6.0,8.0,0.48,8.0,0,5.0,4.0
7.0,8.0,9.0,9.0,7.0,0.03,8.0,0,5.0,6.0
6.0,9.0,8.0,8.0,8.0,0.11,7.0,0,5.0,1.0
3.0,6.0,7.0,5.0,3.0,0.47,4.0,1,6.0,6.0
7.0,8.0,6.0,5.0,5.0,0.54,7.0,0,3.0,5.0
8.0,8.0,8.0,7.0,6.0,-0.34,8.0,0,2.0,4.0
3.0,2.0,2.0,3.0,2.0,0.18,2.0,0,4.0,2.0
7.0,9.0,8.0,5.0,4.0,0.11,8.0,0,4.0,1.0
4.0,7.0,7.0,5.0,6.0,0.41,7.0,0,6.0,5.0
4.0,6.0,7.0,6.0,5.0,-0.06,5.0,0,6.0,5.0
7.0,8.0,9.0,7.0,7.0,0.44,6.0,1,7.0,6.0
5.0,8.0,8.0,6.0,7.0,0.09,8.0,0,5.0,3.0
1.0,7.0,9.0,2.0,2.0,-0.16,9.0,0,10.0,8.0
1.0,1.0,6.0,1.0,1.0,0.11,5.0,0,10.0,5.0
6.0,10.0,9.0,7.0,6.0,0.34,8.0,1,4.0,7.0
8.0,9.0,9.0,9.0,9.0,0.43,10.0,0,4.0,8.0
1.0,5.0,0.0,10.0,0.0,0.65,0.0,0,7.0,3.0
6.0,6.0,7.0,3.0,4.0,-0.34,7.0,1,3.0,2.0
6.0,7.0,7.0,8.0,6.0,0.49,7.0,0,2.0,5.0
7.0,6.0,9.0,7.0,6.0,0.15,9.0,1,8.0,9.0
1.0,1.0,10.0,1.0,3.0,0.14,9.0,1,5.0,3.0
10.0,10.0,10.0,10.0,10.0,0.13,10.0,0,3.0,1.0
1.0,3.0,1.0,1.0,1.0,0.1,3.0,0,4.0,1.0
4.0,6.0,7.0,4.0,4.0,-0.4,7.0,1,5.0,7.0
7.0,6.0,5.0,4.0,6.0,-0.57,4.0,0,5.0,4.0
5.0,6.0,6.0,6.0,5.0,0.08,6.0,0,5.0,4.0
6.0,4.0,6.0,6.0,5.0,0.65,7.0,0,6.0,3.0
7.0,5.0,6.0,7.0,7.0,0.67,5.0,0,7.0,5.0
6.0,8.0,7.0,4.0,6.0,0.58,8.0,1,5.0,6.0
5.0,5.0,5.0,3.0,4.0,-0.02,3.0,1,4.0,7.0
5.0,6.0,5.0,5.0,6.0,0.6,5.0,0,6.0,5.0
1.0,9.0,8.0,1.0,1.0,0.24,10.0,0,4.0,5.0
6.0,9.0,8.0,8.0,7.0,0.07,9.0,0,7.0,9.0
7.0,8.0,8.0,7.0,7.0,0.18,6.0,1,6.0,8.0
6.0,8.0,8.0,6.0,7.0,0.41,7.0,1,4.0,4.0
6.0,7.0,7.0,4.0,5.0,-0.18,7.0,0,5.0,5.0
2.0,8.0,8.0,7.0,8.0,0.5,8.0,0,6.0,7.0
5.0,5.0,7.0,6.0,5.0,0.3,7.0,1,6.0,5.0
6.0,6.0,8.0,4.0,2.0,0.53,10.0,1,6.0,1.0
7.0,7.0,7.0,7.0,8.0,0.13,7.0,1,7.0,6.0
4.0,1.0,4.0,1.0,1.0,0.3,10.0,0,4.0,3.0
8.0,8.0,8.0,6.0,7.0,-0.12,8.0,0,7.0,7.0
8.0,7.0,7.0,6.0,5.0,0.44,6.0,0,3.0,5.0
5.0,9.0,8.0,5.0,7.0,0.11,7.0,0,6.0,7.0
4.0,9.0,10.0,6.0,3.0,0.32,9.0,0,9.0,2.0
2.0,6.0,7.0,1.0,2.0,-0.02,7.0,1,7.0,3.0
6.0,8.0,8.0,8.0,7.0,0.38,7.0,0,8.0,6.0
7.0,7.0,7.0,6.0,7.0,-0.24,6.0,0,8.0,6.0
6.0,10.0,8.0,7.0,8.0,0.18,8.0,1,5.0,6.0
4.0,5.0,5.0,4.0,5.0,-0.05,5.0,0,5.0,4.0
7.0,6.0,7.0,8.0,7.0,0.59,7.0,0,3.0,5.0
8.0,10.0,9.0,10.0,8.0,-0.11,7.0,0,8.0,8.0
5.0,8.0,8.0,8.0,7.0,0.39,8.0,0,6.0,7.0
8.0,8.0,8.0,8.0,7.0,-0.06,7.0,0,7.0,6.0
10.0,10.0,10.0,9.0,8.0,0.46,5.0,0,2.0,10.0
6.0,8.0,6.0,7.0,6.0,0.3,7.0,1,6.0,6.0
7.0,7.0,8.0,7.0,8.0,0.31,7.0,0,7.0,7.0
7.0,10.0,9.0,5.0,4.0,0.32,8.0,1,6.0,3.0
6.0,7.0,8.0,7.0,8.0,0.46,8.0,0,3.0,6.0
9.0,9.0,8.0,8.0,6.0,0.24,9.0,0,5.0,5.0
6.0,5.0,6.0,4.0,6.0,0.06,4.0,0,2.0,4.0
6.0,7.0,8.0,5.0,6.0,0.05,7.0,1,6.0,6.0
7.0,8.0,7.0,8.0,6.0,0.4,8.0,0,3.0,8.0
5.0,7.0,8.0,6.0,6.0,0.0,7.0,0,2.0,6.0
6.0,6.0,5.0,9.0,5.0,0.25,5.0,1,5.0,5.0
4.0,9.0,8.0,4.0,5.0,0.07,7.0,0,7.0,8.0
5.0,6.0,10.0,8.0,7.0,0.35,7.0,0,6.0,4.0
5.0,10.0,10.0,9.0,8.0,0.54,9.0,0,5.0,5.0
4.0,6.0,5.0,5.0,6.0,0.12,5.0,1,5.0,5.0
9.0,8.0,10.0,8.0,9.0,-0.02,10.0,1,4.0,8.0
5.0,8.0,8.0,8.0,7.0,0.53,7.0,1,5.0,5.0
4.0,8.0,9.0,8.0,5.0,0.0,9.0,1,5.0,2.0
6.0,8.0,7.0,7.0,7.0,0.01,6.0,1,4.0,9.0
6.0,9.0,8.0,6.0,7.0,-0.02,8.0,1,6.0,9.0
2.0,3.0,4.0,2.0,4.0,-0.27,6.0,1,5.0,3.0
6.0,8.0,8.0,4.0,7.0,-0.42,7.0,0,5.0,4.0
6.0,6.0,6.0,5.0,5.0,-0.11,5.0,0,6.0,7.0
6.0,8.0,9.0,9.0,7.0,0.0,6.0,1,3.0,5.0
7.0,9.0,10.0,9.0,7.0,0.33,9.0,0,5.0,6.0
8.0,8.0,9.0,9.0,8.0,0.01,8.0,1,7.0,8.0
7.0,7.0,7.0,7.0,5.0,0.18,7.0,0,3.0,4.0
5.0,10.0,9.0,6.0,7.0,0.61,9.0,0,5.0,6.0
5.0,9.0,9.0,5.0,6.0,0.15,9.0,1,1.0,6.0
3.0,7.0,5.0,3.0,2.0,0.44,5.0,0,3.0,2.0
7.0,10.0,10.0,8.0,6.0,0.35,10.0,1,8.0,10.0
9.0,9.0,10.0,10.0,10.0,0.73,9.0,0,5.0,9.0
8.0,10.0,10.0,8.0,8.0,0.77,7.0,1,9.0,9.0
1.0,6.0,7.0,6.0,2.0,-0.16,4.0,0,5.0,3.0
5.0,8.0,7.0,6.0,6.0,0.75,6.0,1,3.0,3.0
5.0,5.0,6.0,7.0,5.0,-0.28,7.0,0,4.0,6.0
10.0,7.0,5.0,5.0,7.0,0.54,5.0,1,7.0,4.0
5.0,5.0,6.0,2.0,3.0,0.08,9.0,1,5.0,4.0
5.0,8.0,8.0,7.0,7.0,0.19,7.0,1,4.0,8.0
5.0,5.0,5.0,5.0,7.0,0.51,5.0,0,5.0,7.0
5.0,8.0,8.0,7.0,7.0,0.26,7.0,0,5.0,2.0
4.0,3.0,6.0,7.0,5.0,0.52,5.0,1,4.0,7.0
10.0,9.0,8.0,8.0,8.0,0.54,8.0,0,7.0,5.0
8.0,10.0,10.0,8.0,8.0,0.65,10.0,1,5.0,6.0
7.0,6.0,6.0,6.0,6.0,0.26,6.0,1,4.0,5.0
5.0,8.0,8.0,9.0,7.0,0.65,8.0,1,2.0,7.0
7.0,9.0,8.0,8.0,7.0,-0.19,8.0,0,5.0,7.0
5.0,9.0,9.0,6.0,5.0,0.33,7.0,0,5.0,6.0
2.0,2.0,9.0,2.0,2.0,0.27,7.0,0,9.0,1.0
5.0,6.0,7.0,7.0,6.0,0.21,6.0,0,3.0,6.0
8.0,8.0,7.0,7.0,7.0,0.19,7.0,0,2.0,5.0
6.0,7.0,7.0,4.0,6.0,-0.05,6.0,1,7.0,5.0
8.0,6.0,8.0,7.0,7.0,0.12,8.0,0,4.0,5.0
7.0,7.0,7.0,7.0,6.0,0.45,6.0,0,7.0,5.0
5.0,9.0,10.0,8.0,8.0,-0.08,10.0,0,6.0,8.0
7.0,9.0,9.0,8.0,8.0,0.46,2.0,0,4.0,8.0
4.0,8.0,8.0,8.0,6.0,0.16,6.0,0,3.0,3.0
6.0,10.0,10.0,8.0,6.0,0.45,8.0,0,4.0,2.0
7.0,6.0,7.0,6.0,5.0,0.48,8.0,0,2.0,4.0
8.0,6.0,7.0,7.0,5.0,0.04,7.0,0,6.0,4.0
4.0,5.0,5.0,5.0,3.0,-0.23,8.0,0,6.0,1.0
7.0,6.0,7.0,8.0,6.0,-0.18,6.0,0,6.0,5.0
6.0,9.0,8.0,5.0,7.0,0.07,6.0,0,2.0,7.0
5.0,7.0,7.0,7.0,7.0,-0.15,7.0,1,7.0,8.0
8.0,7.0,8.0,5.0,5.0,0.2,8.0,1,5.0,3.0
10.0,9.0,9.0,8.0,7.0,-0.13,7.0,0,5.0,7.0
5.0,7.0,7.0,7.0,5.0,0.29,7.0,0,3.0,2.0
6.0,6.0,6.0,6.0,5.0,0.52,6.0,1,2.0,5.0
7.0,8.0,8.0,8.0,8.0,0.1,7.0,0,4.0,7.0
10.0,9.0,8.0,8.0,8.0,-0.04,7.0,0,5.0,9.0
6.0,9.0,9.0,7.0,7.0,0.28,9.0,0,7.0,6.0
8.0,7.0,8.0,7.0,8.0,0.5,5.0,0,10.0,1.0
4.0,8.0,7.0,8.0,2.0,-0.36,7.0,1,6.0,9.0
3.0,7.0,6.0,4.0,3.0,0.05,6.0,0,3.0,4.0
8.0,7.0,7.0,7.0,8.0,0.23,7.0,0,9.0,7.0
10.0,10.0,10.0,10.0,10.0,0.17,10.0,1,7.0,1.0
10.0,9.0,10.0,10.0,9.0,0.76,10.0,1,7.0,2.0
8.0,6.0,6.0,8.0,5.0,-0.21,9.0,0,7.0,5.0
2.0,6.0,2.0,3.0,2.0,0.26,2.0,0,3.0,5.0
5.0,7.0,10.0,5.0,5.0,0.61,7.0,0,5.0,5.0
4.0,6.0,8.0,6.0,4.0,0.53,6.0,0,10.0,8.0
6.0,7.0,7.0,5.0,6.0,0.17,6.0,0,5.0,5.0
8.0,8.0,8.0,8.0,8.0,-0.15,10.0,0,7.0,7.0
3.5,5.0,7.5,2.0,4.0,0.29,8.0,1,5.0,8.0
4.0,7.0,7.0,9.0,9.0,-0.27,8.0,0,7.0,10.0
4.0,6.0,7.0,8.0,7.0,0.6,9.0,0,8.0,7.0
8.0,8.0,9.0,8.0,5.0,0.02,8.0,0,6.0,2.0
5.0,8.0,7.0,7.0,6.0,-0.05,7.0,1,2.0,6.0
7.0,7.0,7.0,6.0,6.0,0.39,5.0,0,3.0,5.0
7.0,7.0,8.0,8.0,5.0,-0.2,8.0,1,7.0,5.0
5.0,8.0,7.0,5.0,6.0,-0.24,5.0,0,5.0,5.0
9.0,7.0,7.0,8.0,7.0,0.27,8.0,1,6.0,5.0
5.0,6.0,7.0,6.0,6.0,0.21,6.0,0,5.0,5.0
7.0,7.0,7.0,5.0,6.0,0.26,6.0,0,5.0,5.0
5.0,5.0,6.0,4.0,4.0,0.01,7.0,0,5.0,5.0
4.0,10.0,10.0,7.0,7.0,0.43,10.0,0,7.0,10.0
5.0,3.0,9.0,2.0,4.0,0.3,10.0,1,7.0,4.0
7.0,9.0,9.0,8.0,7.0,0.62,8.0,0,6.0,5.0
6.0,7.0,9.0,6.0,7.0,0.46,9.0,1,5.0,4.0
3.0,5.0,5.0,5.0,5.0,0.25,2.0,0,5.0,1.0
7.0,9.0,9.0,7.0,7.0,-0.2,9.0,0,7.0,1.0
7.0,9.0,7.0,7.0,7.0,-0.46,10.0,0,4.0,3.0
4.0,6.0,7.0,4.0,4.0,0.28,6.0,0,6.0,1.0
10.0,9.0,9.0,8.0,8.0,-0.2,7.0,1,5.0,1.0
6.0,5.0,7.0,5.0,6.0,0.17,6.0,1,8.0,4.0
7.0,8.0,9.0,8.0,5.0,0.47,9.0,0,5.0,5.0
8.0,6.0,7.0,7.0,7.0,0.27,5.0,0,5.0,5.0
5.0,7.0,9.0,9.0,6.0,0.34,8.0,0,7.0,4.0
10.0,8.0,8.0,8.0,9.0,0.32,8.0,0,5.0,5.0
4.0,7.0,8.0,7.0,6.0,-0.01,8.0,0,3.0,9.0
5.0,7.0,6.0,6.0,8.0,0.22,6.0,1,5.0,6.0
3.0,8.0,8.0,4.0,6.0,0.65,8.0,0,4.0,7.0
3.0,8.0,8.0,5.0,7.0,-0.25,7.0,0,6.0,2.0
6.0,6.0,8.0,2.0,5.0,-0.56,4.0,0,6.0,7.0
7.0,8.0,9.0,8.0,7.0,0.35,9.0,0,6.0,7.0
5.0,5.0,5.0,5.0,5.0,0.24,5.0,0,5.0,5.0
8.0,6.0,7.0,3.0,6.0,-0.41,7.0,1,7.0,4.0
4.0,8.0,7.0,5.0,5.0,-0.01,5.0,0,6.0,5.0
4.0,4.0,6.0,7.0,4.0,0.07,5.0,0,7.0,5.0
5.0,6.0,5.0,6.0,3.0,0.49,5.0,0,4.0,7.0
6.0,7.0,7.0,6.0,6.0,0.31,7.0,0,6.0,6.0
6.0,8.0,9.0,6.0,6.0,0.62,10.0,0,4.0,6.0
7.0,3.0,6.0,5.0,7.0,0.41,6.0,0,6.0,2.0
3.0,7.0,6.0,1.0,2.0,0.19,1.0,0,4.0,2.0
5.0,8.0,7.0,5.0,5.0,-0.01,7.0,1,7.0,3.0
3.0,2.0,4.0,5.0,5.0,0.62,7.0,0,9.0,5.0
7.0,8.0,7.0,6.0,7.0,0.0,7.0,1,3.0,7.0
6.0,6.0,7.0,5.0,6.0,0.47,5.0,0,5.0,7.0
6.0,8.0,8.0,5.0,5.0,0.2,8.0,1,1.0,4.0
7.0,8.0,7.0,7.0,7.0,0.12,7.0,0,5.0,5.0
8.0,10.0,10.0,6.0,8.0,0.74,8.0,0,6.0,8.0
5.0,6.0,5.0,5.0,4.0,0.21,5.0,0,6.0,2.0
5.0,10.0,10.0,5.0,6.0,0.15,10.0,0,2.0,6.0
1.0,6.0,6.0,3.0,3.0,-0.13,4.0,1,6.0,5.0
8.0,7.0,8.0,8.0,7.0,0.43,8.0,0,6.0,6.0
9.0,7.0,6.0,6.0,3.0,0.81,6.0,0,7.0,2.0
